Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Napoli,it ITA,1,26,22,2,2,60,16,+44,68,2.62,46.9,20.0,+26.9,+1.08,W W W L W,29610,Victor Osimhen - 19,Alex Meret
2,Barcelona,es ESP,1,25,21,2,2,47,8,+39,65,2.60,48.2,19.6,+28.7,+1.19,W W L W W,82492,Robert Lewandowski - 15,Marc-André ter Stegen
3,Paris S-G,fr FRA,1,27,21,3,3,68,26,+42,66,2.44,56.2,30.9,+25.3,+0.97,L W W W W,42615,Kylian Mbappé - 19,Gianluigi Donnarumma
4,Arsenal,eng ENG,1,27,21,3,3,62,25,+37,66,2.44,50.3,25.4,+24.9,+0.96,W W W W W,60196,Martinelli - 12,Aaron Ramsdale
5,Manchester City,eng ENG,2,27,19,4,4,67,25,+42,61,2.26,54.1,21.3,+32.7,+1.26,W D W W W,53219,Erling Haaland - 28,Ederson
6,Real Madrid,es ESP,2,25,17,5,3,50,19,+31,56,2.24,49.8,20.8,+29.1,+1.21,W W D D W,56819,Karim Benzema - 11,Thibaut Courtois
7,Bayern Munich,de GER,1,24,15,7,2,71,25,+46,52,2.17,50.0,22.6,+27.4,+1.19,W L W W W,75000,Jamal Musiala - 11,Manuel Neuer
8,Dortmund,de GER,2,24,16,2,6,49,30,+19,50,2.08,39.8,29.1,+10.6,+0.46,W W W W D,81153,Julian Brandt - 8,Gregor Kobel
9,Marseille,fr FRA,2,27,17,5,5,51,27,+24,56,2.07,44.7,31.5,+13.2,+0.51,W W L W D,58312,Alexis Sánchez - 10,Pau López
10,Juventus,it ITA,7,26,16,5,5,44,22,+22,53,2.04,36.0,26.3,+9.7,+0.39,W W W L W,26869,Dušan Vlahović - 8,Wojciech Szczęsny
11,Lens,fr FRA,3,27,15,9,3,44,21,+23,54,2.00,46.2,29.0,+17.3,+0.66,L W D D W,37540,Loïs Openda - 12,Brice Samba
12,Inter,it ITA,2,26,16,2,8,47,30,+17,50,1.92,42.3,22.7,+19.7,+0.79,D W L W L,50059,Lautaro Martínez - 14,André Onana
13,Manchester Utd,eng ENG,3,26,15,5,6,41,35,+6,50,1.92,39.7,31.4,+8.4,+0.34,D W W L D,73749,Marcus Rashford - 14,David de Gea
14,Monaco,fr FRA,4,27,15,6,6,55,37,+18,51,1.89,45.2,35.0,+10.2,+0.39,W W L D L,7042,Wissam Ben Yedder - 16,Alexander Nübel
15,Lazio,it ITA,3,26,14,7,5,41,19,+22,49,1.88,33.3,27.8,+5.5,+0.22,L W W W D,28269,Ciro Immobile - 9,Ivan Provedel
16,RB Leipzig,de GER,3,24,13,6,5,49,29,+20,45,1.88,41.2,24.4,+16.8,+0.73,L W W L W,45854,Christopher Nkunku - 12,Janis Blaswich
17,Atlético Madrid,es ESP,3,24,13,6,5,38,19,+19,45,1.88,35.2,26.0,+9.2,+0.38,D W W D W,55612,Álvaro Morata - 9,Jan Oblak
18,Milan,it ITA,4,25,14,5,6,42,32,+10,47,1.88,37.9,27.7,+10.3,+0.41,L W W W L,54613,Rafael Leão - 8,Ciprian Tătărușanu
19,Union Berlin,de GER,4,24,13,6,5,36,28,+8,45,1.88,24.5,24.5,0.0,0.00,W D L D D,19900,Sheraldo Becker - 7,Frederik Rønnow
20,Freiburg,de GER,5,24,13,6,5,37,33,+4,45,1.88,33.8,31.6,+2.2,+0.10,W W D D W,31242,Vincenzo Grifo - 12,Mark Flekken
21,Roma,it ITA,5,26,14,5,7,35,25,+10,47,1.81,38.7,18.0,+20.6,+0.83,D W L W L,42765,Paulo Dybala - 9,Rui Patrício
22,Real Sociedad,es ESP,4,25,13,6,6,33,24,+9,45,1.80,31.1,20.3,+10.8,+0.45,W D L D D,32622,Alexander Sørloth - 9,Álex Remiro
23,Tottenham,eng ENG,4,27,15,3,9,49,37,+12,48,1.78,36.7,29.7,+7.0,+0.27,L W W L W,61654,Harry Kane - 20,Hugo Lloris
24,Newcastle Utd,eng ENG,5,25,11,11,3,37,18,+19,44,1.76,37.5,23.8,+13.7,+0.57,D D L L W,52241,Miguel Almirón - 11,Nick Pope
25,Rennes,fr FRA,5,27,14,5,8,45,29,+16,47,1.74,41.3,33.1,+8.2,+0.32,L W W L D,25535,Amine Gouiri Martin Terrier - 9,Steve Mandanda
26,Lille,fr FRA,6,27,13,7,7,49,36,+13,46,1.70,48.0,29.4,+18.6,+0.72,W L W D D,35408,Jonathan David - 19,Lucas Chevalier
27,Betis,es ESP,5,25,12,6,7,33,26,+7,42,1.68,35.9,30.2,+5.7,+0.24,W W W D D,50915,Borja Iglesias - 11,Rui Silva
28,Eint Frankfurt,de GER,6,24,11,7,6,46,34,+12,40,1.67,33.1,29.4,+3.7,+0.16,L W L D D,49975,Randal Kolo Muani - 11,Kevin Trapp
29,Brighton,eng ENG,7,24,11,6,7,45,31,+14,39,1.63,39.5,26.8,+12.6,+0.55,W D L W D,31501,Leandro Trossard Alexis Mac Allister - 7,Robert Sánchez
30,Liverpool,eng ENG,6,26,12,6,8,47,29,+18,42,1.62,46.0,33.7,+12.4,+0.49,W D W W L,53197,Mohamed Salah - 11,Alisson
31,Atalanta,it ITA,6,26,12,6,8,42,30,+12,42,1.62,39.0,26.0,+13.0,+0.52,W L L D L,13970,Ademola Lookman - 12,Juan Musso
32,Nice,fr FRA,7,27,11,10,6,36,24,+12,43,1.59,36.6,28.9,+7.7,+0.30,W D W D D,19893,Gaëtan Laborde - 7,Kasper Schmeichel
33,Reims,fr FRA,8,27,10,13,4,35,26,+9,43,1.59,41.3,33.1,+8.3,+0.32,W D W W W,11479,Folarin Balogun - 16,Yehvann Diouf
34,Lorient,fr FRA,9,27,12,7,8,40,36,+4,43,1.59,31.7,41.5,-9.9,-0.38,L W L D W,13489,Terem Moffi - 12,Vito Mannone
35,Brentford,eng ENG,9,25,9,11,5,40,33,+7,38,1.52,34.6,30.3,+4.3,+0.18,W D D W L,17076,Ivan Toney - 15,David Raya
36,Villarreal,es ESP,6,25,11,5,9,29,24,+5,38,1.52,33.5,29.7,+3.8,+0.16,L L W W D,16301,Gerard Moreno - 6,Gerónimo Rulli
37,Mainz 05,de GER,7,24,10,6,8,39,35,+4,36,1.50,31.3,33.1,-1.8,-0.08,W W W W D,27848,Karim Onisiwo Marcus Ingvartsen - 8,Robin Zentner
38,Lyon,fr FRA,10,27,11,7,9,42,31,+11,40,1.48,40.8,31.5,+9.3,+0.36,W L W D D,41136,Alexandre Lacazette - 16,Anthony Lopes
39,Wolfsburg,de GER,8,24,9,8,7,43,32,+11,35,1.46,31.3,33.1,-1.7,-0.08,D L W D D,26354,Yannick Gerhardt - 6,Koen Casteels
40,Fulham,eng ENG,8,27,11,6,10,38,37,+1,39,1.44,32.7,42.7,-10.0,-0.38,W W D L L,23502,Aleksandar Mitrović - 11,Bernd Leno
41,Leverkusen,de GER,9,24,10,4,10,43,39,+4,34,1.42,36.2,29.4,+6.8,+0.30,W L D W W,28036,Moussa Diaby - 8,Lukáš Hrádecký
42,Chelsea,eng ENG,10,26,10,7,9,27,26,+1,37,1.42,29.8,30.8,-1.0,-0.04,D L L W W,39969,Kai Havertz - 6,Kepa Arrizabalaga
43,Torino,it ITA,8,26,10,7,9,29,29,0,37,1.42,27.4,28.9,-1.5,-0.06,L D L W W,13445,Antonio Sanabria - 7,Vanja Milinković-Savić
44,Rayo Vallecano,es ESP,7,25,9,8,8,29,28,+1,35,1.40,28.7,29.2,-0.5,-0.02,D D L D L,12619,Isaac Palazón Camacho Sergio Camello - 5,Stole Dimitrievski
45,Bologna,it ITA,9,26,10,6,10,31,34,-3,36,1.38,27.9,33.0,-5.2,-0.21,L W W L D,12721,Marko Arnautović - 8,Łukasz Skorupski
46,Osasuna,es ESP,8,25,9,7,9,22,24,-2,34,1.36,25.6,25.4,+0.3,+0.01,D L W D L,19449,Ezequiel Ávila - 7,Aitor Fernández
47,Udinese,it ITA,10,26,8,11,7,34,30,+4,35,1.35,32.4,34.1,-1.8,-0.07,D L D D W,15855,Beto - 8,Marco Silvestri
48,Aston Villa,eng ENG,11,26,10,5,11,32,39,-7,35,1.35,30.1,37.5,-7.4,-0.29,L L W W D,41681,Ollie Watkins - 9,Emiliano Martínez
49,Athletic Club,es ESP,9,25,9,6,10,33,27,+6,33,1.32,31.6,20.7,+10.9,+0.45,W L L D L,43754,Oihan Sancet - 8,Unai Simón
50,Fiorentina,it ITA,11,26,9,7,10,31,31,0,34,1.31,35.4,28.5,+6.9,+0.28,L D W W W,27745,Arthur - 6,Pietro Terracciano
51,Toulouse,fr FRA,11,27,10,5,12,43,46,-3,35,1.30,35.7,39.6,-3.9,-0.15,W L L L W,21454,Thijs Dallinga - 10,Maxime Dupé
52,Mallorca,es ESP,10,25,9,5,11,22,26,-4,32,1.28,20.6,27.3,-6.7,-0.28,L W L L D,14617,Vedat Muriqi - 10,Predrag Rajković
53,Monza,it ITA,12,26,9,6,11,31,36,-5,33,1.27,30.5,32.1,-1.6,-0.06,W L L W D,9289,Gianluca Caprari Carlos... - 4,Michele Di Gregorio
54,Sassuolo,it ITA,13,26,9,6,11,34,40,-6,33,1.27,30.9,33.3,-2.5,-0.10,D L W W W,9613,Armand Lauriente - 7,Andrea Consigli
55,Clermont Foot,fr FRA,12,27,9,7,11,26,38,-12,34,1.26,27.6,41.3,-13.7,-0.53,L L D W L,10293,Komnen Andrić Muhammed Saracevic Cham - 4,Mory Diaw
56,Girona,es ESP,12,24,8,6,10,38,38,0,30,1.25,33.2,31.4,+1.8,+0.08,W L W W L,10995,Valentín Castellanos Cristhian Stuani - 6,Paulo Gazzaniga
57,M'Gladbach,de GER,10,24,8,6,10,38,42,-4,30,1.25,32.8,33.8,-1.0,-0.04,L W L D L,47931,Marcus Thuram - 11,Yann Sommer
58,Werder Bremen,de GER,11,24,9,3,12,37,46,-9,30,1.25,27.0,35.4,-8.3,-0.36,L L W L L,35023,Niclas Füllkrug - 15,Jiří Pavlenka
59,Celta Vigo,es ESP,11,25,8,7,10,29,34,-5,31,1.24,27.5,26.3,+1.2,+0.05,L D W D W,14066,Iago Aspas - 11,Agustín Marchesín
